"","Country","Region","Score","Economy","Family","Health","Freedom","Trust","Generosity"
"144","Niger","Sub-Saharan Africa",3.38171189258227,0.166993933710663,2.42432610649441,1.2369630792077,3.17194298991947,1.40495691223985,1.47381285998703
"145","Cambodia","Southeastern Asia",3.35884466001864,1.10779059368465,1.968453020346,2.54471207535932,4.40594932714512,0.651046917514046,3.0681184926093
"146","Tanzania","Sub-Saharan Africa",3.32542332011796,0.686263254960822,3.14608593860069,1.59122577412469,2.18667998034413,0.516291794529215,2.61336280434178
"147","Madagascar","Sub-Saharan Africa",3.23747242564248,0.501078051237874,2.09599958894627,1.94540519149234,1.27590695124162,0.729833746085843,1.62174909692595
"148","Central African Republic","Sub-Saharan Africa",3.23483389880821,0.188890832799525,0,0.278938151533725,3.25088906743843,0.744656809614175,1.81195283013312
"149","Chad","Sub-Saharan Africa",3.22515930041591,0.822769967632377,2.38657985261345,0.624998007840158,1.56302592061766,0.473349828671382,1.39771616256881
"150","Guinea","Sub-Saharan Africa",3.21548470202361,0.419097023550233,1.45823536917528,0.999705341121542,2.5090486726225,1.09052829194191,2.17852453338053
"151","Ivory Coast","Sub-Saharan Africa",3.21460519307885,1.11972560681441,2.41961959104791,0.632284793407915,3.11700662932077,1.61005420942276,1.5329569464919
"152","Burkina Faso","Sub-Saharan Africa",3.15479858483553,0.621101933276604,2.67292425237878,1.12945176300228,2.62663642751174,1.1527851587609,1.65322165709692
"153","Afghanistan","Southern Asia",3.14424447749847,0.769567721604383,0.950245468649238,1.26311222970228,1.55723964534879,0.873123360193046,2.77551490783135
"154","Rwanda","Sub-Saharan Africa",3.04749849357544,0.534380587874121,2.42762066730697,1.78480443757898,3.93739404818885,4.95817999510386,1.72019587330616
"155","Benin","Sub-Saharan Africa",2.93755987548109,0.689752321299157,1.11029837060003,1.32869329981209,3.2223567445609,0.719592356738996,1.38813755729938
"156","Syria","Middle East and Northern Africa",2.64380388793298,1.5958267555751,1.49005141359365,3.00602805996033,1.04312576226405,1.69845357010081,3.58657950798618
"157","Burundi","Sub-Saharan Africa",2.55497348451274,0.0368156655010539,1.30486571915852,0.932541997574162,0.788130596966907,0.903937364982244,1.49965989007913
